Comment,Designator,Footprint,LCSC
1k,"R4,R9",R_0402_1005Metric,C11702
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
100nF,"C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
4.7nF,C10,C_0402_1005Metric,C1538
10uF,C4,C_0402_1005Metric,C15525
22pF,"C2,C3",C_0402_1005Metric,C1555
HRO-M-12,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C167321
22,"R1,R2",R_0402_1005Metric,C25092
10k,"R3,R5",R_0402_1005Metric,C25744
5.1k,"R6,R7",R_0402_1005Metric,C25905
1M,R8,R_0402_1005Metric,C26083
32U4-MU,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C45874
1uF,C1,C_0402_1005Metric,C52923
500mA,F1,Fuse_1206_3216Metric,C70076
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D5,D6,D7,D8,D9",D_SOD-123,C81598
SRV05-4,U2,SOT-23-6-routable,C85364
